阿Ｑ/null/null/a1,Ｑ/null/null/
扒拉/null/null/ba1,la1/null/null/
扒皮/null/null/ba1,pi2/null/null/
扒窃/null/null/pa2,qie4/null/null/
扒手/null/null/pa2,shou3/null/null/
吧嗒/null/null/ba1,da1/null/null/
吧唧/null/null/ba1,ji1/null/null/
吧女/null/null/ba1,nv3/null/null/
吧台/null/null/ba1,tai2/null/null/
笆斗/null/null/ba1,dou3/null/null/
拔地/null/null/ba2,di4/null/null/
拔毒/null/null/ba2,du2/null/null/
拔节/null/null/ba2,jie2/null/null/
把柄/null/null/ba3,bing3/null/null/
把持/null/null/ba3,chi2/null/null/
把舵/null/null/ba3,duo4/null/null/
把风/null/null/ba3,feng1/null/null/
把关/null/null/ba3,guan1/null/null/
把家/null/null/ba3,jia1/null/null/
把酒/null/null/ba3,jiu3/null/null/
把揽/null/null/ba3,lan3/null/null/
把牢/null/null/ba3,lao2/null/null/
把门/null/null/ba3,men2/null/null/
把脉/null/null/ba3,mai4/null/null/
把式/null/null/ba3,shi4/null/null/
把势/null/null/ba3,shi4/null/null/
把手/null/null/ba3,shou3/null/null/
把守/null/null/ba3,shou3/null/null/
把头/null/null/ba3,tou2/null/null/
把玩/null/null/ba3,wan2/null/null/
把稳/null/null/ba3,wen3/null/null/
把握/null/null/ba3,wo4/null/null/
把晤/null/null/ba3,wu4/null/null/
把盏/null/null/ba3,zhan3/null/null/
把戏/null/null/ba3,xi4/null/null/
把住/null/null/ba3,zhu4/null/null/
把子/null/null/ba4,zi/null/null/
靶场/null/null/ba3,chang3/null/null/
靶台/null/null/ba3,tai2/null/null/
坝地/null/null/ba4,di4/null/null/
白地/null/null/bai2,di4/null/null/
白发/null/null/bai2,fa4/null/null/
白丁/null/null/bai2,ding1/null/null/
白干/null/null/bai2,qian2/null/null/
白骨/null/null/bai2,gu3/null/null/
白净/null/null/bai2,jing4/null/null/
白卷/null/null/bai2,juan4/null/null/
白露/null/null/bai2,lu4/null/null/
白票/null/null/bai2,piao4/null/null/
白区/null/null/bai2,qu1/null/null/
白食/null/null/bai2,shi2/null/null/
白蛇/null/null/bai2,she2/null/null/
白术/null/null/bai2,zhu2/null/null/
白苏/null/null/bai2,su1/null/null/
白汤/null/null/bai2,tang1/null/null/
白体/null/null/bai2,ti3/null/null/
白头/null/null/bai2,tou2/null/null/
白条/null/null/bai2,tiao2/null/null/
白相/null/null/bai2,xiang4/null/null/
白血/null/null/bai2,xue4/null/null/
白种/null/null/bai2,zhong3/null/null/
百分/null/null/bai3,fen1/null/null/
百度/null/null/bai3,du4/null/null/
百合/null/null/bai3,he2/null/null/
百会/null/null/bai3,hui4/null/null/
百万/null/null/bai3,wan4/null/null/
百戏/null/null/bai3,xi4/null/null/
百叶/null/null/bai3,ye4/null/null/
柏林/null/null/bo2,lin2/null/null/
柏乡/null/null/bai3,xiang1/null/null/
柏油/null/null/bai3,you2/null/null/
摆弄/null/null/bai3,nong4/null/null/
摆正/null/null/bai3,zheng4/null/null/
败北/null/null/bai4,bei3/null/null/
败毒/null/null/bai4,du2/null/null/
败坏/null/null/bai4,huai4/null/null/
败家/null/null/bai4,jia1/null/null/
败将/null/null/bai4,jiang4/null/null/
败露/null/null/bai4,lu4/null/null/
败落/null/null/bai4,luo4/null/null/
败兴/null/null/bai4,xing4/null/null/
败血/null/null/bai4,xue4/null/null/
败亡/null/null/bai4,wang2/null/null/
拜别/null/null/bai4,bie2/null/null/
拜读/null/null/bai4,du2/null/null/
拜倒/null/null/bai4,dao3/null/null/
拜佛/null/null/bai4,fo2/null/null/
拜服/null/null/bai4,fu2/null/null/
拜见/null/null/bai4,jian4/null/null/
拜祭/null/null/bai4,ji4/null/null/
拜会/null/null/bai4,hui4/null/null/
拜节/null/null/bai4,jie2/null/null/
扳倒/null/null/ban1,dao3/null/null/
班禅/null/null/ban1,chan2/null/null/
班车/null/null/ban1,che1/null/null/
班长/null/null/ban1,zhang3/null/null/
班期/null/null/ban1,qi1/null/null/
斑纹/null/null/ban1,wen2/null/null/
搬家/null/null/ban1,jia1/null/null/
板车/null/null/ban3,che1/null/null/
搬弄/null/null/ban1,nong4/null/null/
板结/null/null/ban3,jie2/null/null/
板刷/null/null/ban3,shua1/null/null/
板正/null/null/ban3,zheng4/null/null/
板铺/null/null/ban3,pu4/null/null/
办差/null/null/ban4,chai1/null/null/
版筑/null/null/ban3,zhu4/null/null/
办好/null/null/ban4,hao3/null/null/
半大/null/null/ban4,da4/null/null/
半价/null/null/ban4,jia4/null/null/
半空/null/null/ban4,kong1/null/null/
半票/null/null/ban4,piao4/null/null/
半数/null/null/ban4,shu4/null/null/
半拉/null/null/ban4,la3/null/null/
半休/null/null/ban4,xiu1/null/null/
半载/null/null/ban4,zai3/null/null/
伴读/null/null/ban4,du2/null/null/
伴同/null/null/ban4,tong2/null/null/
伴郎/null/null/ban4,lang2/null/null/
拌和/null/null/ban4,huo4/null/null/
扮戏/null/null/ban4,xi4/null/null/
扮相/null/null/ban4,xiang4/null/null/
拌蒜/null/null/ban4,suan4/null/null/
拌匀/null/null/ban4,yun2/null/null/
绊倒/null/null/ban4,dao3/null/null/
拌嘴/null/null/ban4,zui3/null/null/
拌种/null/null/ban4,zhong3/null/null/
帮会/null/null/bang1,hui4/null/null/
帮教/null/null/bang1,jiao4/null/null/
帮同/null/null/bang1,tong2/null/null/
帮佣/null/null/bang1,yong1/null/null/
帮助/null/null/bang1,zhu4/null/null/
绑票/null/null/bang3,piao4/null/null/
绑扎/null/null/bang3,zha1/null/null/
榜额/null/null/bang3,e2/null/null/
榜首/null/null/bang3,shou3/null/null/
榜书/null/null/bang3,shu1/null/null/
榜文/null/null/bang3,wen2/null/null/
榜眼/null/null/bang3,yan3/null/null/
榜样/null/null/bang3,yang4/null/null/
膀臂/null/null/bang3,bi4/null/null/
棒喝/null/null/bang4,he4/null/null/
棒头/null/null/bang4,tou2/null/null/
磅礴/null/null/pang2,bo2/null/null/
磅秤/null/null/bang4,cheng4/null/null/
包藏/null/null/bao1,cang2/null/null/
包被/null/null/bao1,bei4/null/null/
包场/null/null/bao1,chang3/null/null/
包车/null/null/bao1,che1/null/null/
包乘/null/null/bao1,cheng2/null/null/
包干/null/null/bao1,gan1/null/null/
包间/null/null/bao1,jian1/null/null/
包括/null/null/bao1,kuo4/null/null/
包络/null/null/bao1,luo4/null/null/
包囊/null/null/bao1,nang2/null/null/
包票/null/null/bao1,piao4/null/null/
包头/null/null/bao1,tou2/null/null/
包扎/null/null/bao1,za1/null/null/
宝藏/null/null/bao3,zang4/null/null/
宝号/null/null/bao3,hao4/null/null/
宝地/null/null/bao3,di4/null/null/
宝刹/null/null/bao3,cha4/null/null/
宝石/null/null/bao3,shi2/null/null/
宝应/null/null/bao3,ying4/null/null/
饱读/null/null/bao3,du2/null/null/
饱和/null/null/bao3,he2/null/null/
饱食/null/null/bao3,shi2/null/null/
保长/null/null/bao3,chang2/null/null/
保藏/null/null/bao3,cang2/null/null/
保单/null/null/bao3,dan1/null/null/
保底/null/null/bao3,di3/null/null/
保价/null/null/bao3,jia4/null/null/
保票/null/null/bao3,piao4/null/null/
保鲜/null/null/bao3,xian1/null/null/
保有/null/null/bao3,you3/null/null/
保重/null/null/bao3,zhong4/null/null/
堡垒/null/null/bao3,lei3/null/null/
堡寨/null/null/bao3,zhai4/null/null/
堡子/null/null/bu3,zi/null/null/
报答/null/null/bao4,da2/null/null/
报单/null/null/bao4,dan1/null/null/
报仇/null/null/bao4,chou2/null/null/
报价/null/null/bao4,jia4/null/null/
报丧/null/null/bao4,sang1/null/null/
报数/null/null/bao4,shu4/null/null/
报头/null/null/bao4,tou2/null/null/
报信/null/null/bao4,xin4/null/null/
报应/null/null/bao4,ying4/null/null/
报知/null/null/bao4,zhi1/null/null/
暴毙/null/null/bao4,bi4/null/null/
暴病/null/null/bao4,bing4/null/null/
暴跌/null/null/bao4,die1/null/null/
暴动/null/null/bao4,dong4/null/null/
暴发/null/null/bao4,fa1/null/null/
暴风/null/null/bao4,feng1/null/null/
暴光/null/null/bao4,guang1/null/null/
暴富/null/null/bao4,fu4/null/null/
暴客/null/null/bao4,ke4/null/null/
暴君/null/null/bao4,jun1/null/null/
暴力/null/null/bao4,li4/null/null/
暴吏/null/null/bao4,li4/null/null/
暴戾/null/null/bao4,li4/null/null/
暴利/null/null/bao4,li4/null/null/
暴敛/null/null/bao4,lian3/null/null/
暴烈/null/null/bao4,lie4/null/null/
暴露/null/null/bao4,lu4/null/null/
暴乱/null/null/bao4,luan4/null/null/
暴民/null/null/bao4,min2/null/null/
暴怒/null/null/bao4,nu4/null/null/
暴虐/null/null/bao4,nüe4/null/null/
暴晒/null/null/pu4,shai4/null/null/
暴尸/null/null/bao4,shi1/null/null/
暴死/null/null/bao4,si3/null/null/
暴跳/null/null/bao4,tiao4/null/null/
暴突/null/null/bao4,tu1/null/null/
暴徒/null/null/bao4,tu2/null/null/
暴行/null/null/bao4,xing2/null/null/
暴躁/null/null/bao4,zao4/null/null/
暴雨/null/null/bao4,yu3/null/null/
暴卒/null/null/bao4,zu2/null/null/
暴政/null/null/bao4,zheng4/null/null/
暴涨/null/null/bao4,zhang3/null/null/
爆发/null/null/bao4,fa1/null/null/
爆裂/null/null/bao4,lie4/null/null/
爆炸/null/null/bao4,zha4/null/null/
陂塘/null/null/bei1,tang2/null/null/
陂陀/null/null/po1,tuo2/null/null/
悲观/null/null/bei1,guan1/null/null/
悲号/null/null/bei1,hao4/null/null/
悲凉/null/null/bei1,liang2/null/null/
悲切/null/null/bei1,qie4/null/null/
悲思/null/null/bei1,si1/null/null/
碑碣/null/null/bei1,jie2/null/null/
悲咽/null/null/bei1,yan1/null/null/
碑石/null/null/bei1,shi2/null/null/
碑帖/null/null/bei1,tie4/null/null/
碑拓/null/null/bei1,tuo4/null/null/
北边/null/null/bei3,bian1/null/null/
北部/null/null/bei3,bu4/null/null/
北辰/null/null/bei3,chen2/null/null/
北朝/null/null/bei3,chao2/null/null/
北斗/null/null/bei3,dou3/null/null/
北伐/null/null/bei3,fa2/null/null/
北风/null/null/bei3,feng1/null/null/
北非/null/null/bei3,fei1/null/null/
北房/null/null/bei3,fang2/null/null/
北方/null/null/bei3,fang1/null/null/
北国/null/null/bei3,guo2/null/null/
北瓜/null/null/bei3,gua1/null/null/
北海/null/null/bei3,hai3/null/null/
北极/null/null/bei3,ji2/null/null/
北疆/null/null/bei3,jiang1/null/null/
北江/null/null/bei3,jiang1/null/null/
北郊/null/null/bei3,jiao1/null/null/
北京/null/null/bei3,jing1/null/null/
北门/null/null/bei3,men2/null/null/
北面/null/null/bei3,mian4/null/null/
北欧/null/null/bei3,ou1/null/null/
北平/null/null/bei3,ping2/null/null/
北齐/null/null/bei3,qi2/null/null/
北曲/null/null/bei3,qu3/null/null/
北宋/null/null/bei3,song4/null/null/
北上/null/null/bei3,shang4/null/null/
北纬/null/null/bei3,wei3/null/null/
北魏/null/null/bei3,wei4/null/null/
北洋/null/null/bei3,yang2/null/null/
北岳/null/null/bei3,yue4/null/null/
北越/null/null/bei3,yue4/null/null/
北周/null/null/bei3,zhou1/null/null/
贝壳/null/null/bei4,ke2/null/null/
贝勒/null/null/bei4,le4/null/null/
备查/null/null/bei4,zha1/null/null/
备份/null/null/bei4,fen4/null/null/
备员/null/null/bei4,yuan2/null/null/
背榜/null/null/bei1,bang3/null/null/
背包/null/null/bei1,bao1/null/null/
背部/null/null/bei4,bu4/null/null/
背地/null/null/bei4,di4/null/null/
背带/null/null/bei1,dai4/null/null/
背袋/null/null/bei4,dai4/null/null/
背篼/null/null/bei4,dou1/null/null/
背负/null/null/bei1,fu4/null/null/
背风/null/null/bei4,feng1/null/null/
背光/null/null/bei4,guang1/null/null/
背脊/null/null/bei4,ji3/null/null/
背后/null/null/bei4,hou4/null/null/
背街/null/null/bei4,jie1/null/null/
背景/null/null/bei4,jing3/null/null/
背静/null/null/bei4,jing4/null/null/
背靠/null/null/bei4,kao4/null/null/
背筐/null/null/bei1,kuang1/null/null/
背篓/null/null/bei1,lou3/null/null/
背离/null/null/bei4,li2/null/null/
背谬/null/null/bei4,miu4/null/null/
背面/null/null/bei4,mian4/null/null/
背囊/null/null/bei4,nang2/null/null/
背鳍/null/null/bei4,qi2/null/null/
背叛/null/null/bei4,pan4/null/null/
背气/null/null/bei4,qi4/null/null/
背弃/null/null/bei4,qi4/null/null/
背人/null/null/bei4,ren2/null/null/
背时/null/null/bei4,shi2/null/null/
背书/null/null/bei4,shu1/null/null/
背熟/null/null/bei4,shu2/null/null/
背诵/null/null/bei4,song4/null/null/
背向/null/null/bei4,xiang4/null/null/
背心/null/null/bei4,xin1/null/null/
背信/null/null/bei4,xin4/null/null/
背阴/null/null/bei4,yin1/null/null/
背影/null/null/bei4,ying3/null/null/
背约/null/null/bei4,yue1/null/null/
背运/null/null/bei4,yun4/null/null/
背债/null/null/bei1,zhai4/null/null/
背子/null/null/bei1,zi/null/null/
倍率/null/null/bei4,lv4/null/null/
倍频/null/null/bei4,pin2/null/null/
倍数/null/null/bei4,shu4/null/null/
被单/null/null/bei4,dan1/null/null/
被袋/null/null/bei4,dai4/null/null/
被动/null/null/bei4,dong4/null/null/
被服/null/null/bei4,fu2/null/null/
被覆/null/null/bei4,fu4/null/null/
被害/null/null/bei4,hai4/null/null/
被告/null/null/bei4,gao4/null/null/
被里/null/null/bei4,li3/null/null/
被面/null/null/bei4,mian4/null/null/
被难/null/null/bei4,nan4/null/null/
被套/null/null/bei4,tao4/null/null/
被头/null/null/bei4,tou2/null/null/
被卧/null/null/bei4,wo4/null/null/
被罩/null/null/bei4,zhao4/null/null/
被子/null/null/bei4,zi/null/null/
焙干/null/null/bei4,gan1/null/null/
辈分/null/null/bei4,fen1/null/null/
辈数/null/null/bei4,shu4/null/null/
奔波/null/null/ben1,bo1/null/null/
奔驰/null/null/ben1,chi2/null/null/
奔窜/null/null/ben1,cuan4/null/null/
奔放/null/null/ben1,fang4/null/null/
奔赴/null/null/ben1,fu4/null/null/
奔劳/null/null/ben1,lao2/null/null/
奔流/null/null/ben1,iu2/null/null/
奔马/null/null/ben1,ma3/null/null/
奔忙/null/null/ben1,mang2/null/null/
奔跑/null/null/ben1,pao3/null/null/
奔命/null/null/ben4,ming4/null/null/
奔丧/null/null/ben1,sang1/null/null/
奔腾/null/null/ben1,teng2/null/null/
奔逃/null/null/ben1,tao2/null/null/
奔驶/null/null/ben1,shi3/null/null/
奔头/null/null/ben4,tou2/null/null/
奔突/null/null/ben1,tu1/null/null/
奔袭/null/null/ben1,xi2/null/null/
奔泻/null/null/ben1,xie4/null/null/
奔涌/null/null/ben1,yong3/null/null/
奔逐/null/null/ben1,zhu2/null/null/
奔走/null/null/ben1,zou3/null/null/
贲门/null/null/ben1,men2/null/null/
贲临/null/null/bi4,lin2/null/null/
本底/null/null/ben3,di3/null/null/
本地/null/null/ben3,di4/null/null/
本分/null/null/ben3,fen4/null/null/
本纪/null/null/ben3,ji4/null/null/
本家/null/null/ben3,jia1/null/null/
本能/null/null/ben3,neng2/null/null/
本票/null/null/ben3,piao4/null/null/
本体/null/null/ben3,ti3/null/null/
本戏/null/null/ben3,xi4/null/null/
本条/null/null/ben3,tiao2/null/null/
本县/null/null/ben3,xian4/null/null/
本相/null/null/ben3,xiang4/null/null/
本行/null/null/ben3,hang2/null/null/
本着/null/null/ben3,zhe/null/null/
畚斗/null/null/ben3,dou4/null/null/
笨伯/null/null/ben4,bo2/null/null/
笨重/null/null/ben4,zhong4/null/null/
崩坏/null/null/beng1,huai4/null/null/
崩解/null/null/beng1,jie3/null/null/
崩溃/null/null/beng1,kui4/null/null/
崩裂/null/null/beng1,lie4/null/null/
绷带/null/null/beng1,dai4/null/null/
绷簧/null/null/beng1,huang2/null/null/
绷脸/null/null/beng3,lian3/null/null/
绷子/null/null/beng1,zi3/null/null/
迸发/null/null/beng4,fa1/null/null/
迸溅/null/null/beng4,jian4/null/null/
迸裂/null/null/beng4,lie4/null/null/
迸射/null/null/beng4,she4/null/null/
蹦跳/null/null/beng4,tiao4/null/null/
逼供/null/null/bi1,gong4/null/null/
逼和/null/null/bi1,he2/null/null/
逼迫/null/null/bi1,po4/null/null/
逼肖/null/null/bi1,xiao4/null/null/
鼻塞/null/null/bi2,sai1/null/null/
鼻头/null/null/bi2,tou2/null/null/
比分/null/null/bi3,fen1/null/null/
比干/null/null/bi3,gan4/null/null/
比划/null/null/bi3,hua4/null/null/
比价/null/null/bi3,jia4/null/null/
比率/null/null/bi3,lv4/null/null/
比量/null/null/bi3,liang2/null/null/
比兴/null/null/bi3,xing1/null/null/
比重/null/null/bi3,zhong4/null/null/
吡啶/null/null/bi3,ding4/null/null/
吡咯/null/null/bi3,ge1/null/null/
笔答/null/null/bi3,da2/null/null/
笔调/null/null/bi3,diao4/null/null/
笔供/null/null/bi3,gong4/null/null/
笔划/null/null/bi3,hua4/null/null/
笔会/null/null/bi3,hui4/null/null/
笔体/null/null/bi3,ti3/null/null/
笔削/null/null/bi3,xue1/null/null/
笔洗/null/null/bi3,xi3/null/null/
鄙薄/null/null/bi3,bo2/null/null/
鄙夫/null/null/bi3,fu1/null/null/
鄙称/null/null/bi3,cheng1/null/null/
鄙见/null/null/bi3,jian4/null/null/
必得/null/null/bi4,dei3/null/null/
必将/null/null/bi4,jiang1/null/null/
必要/null/null/bi4,yao4/null/null/
毕剥/null/null/bi4,bao1/null/null/
毕肖/null/null/bi4,xiao4/null/null/
毕露/null/null/bi4,lu4/null/null/
闭合/null/null/bi4,he2/null/null/
闭会/null/null/bi4,hui4/null/null/
闭卷/null/null/bi4,juan4/null/null/
闭塞/null/null/bi4,se4/null/null/
狴犴/null/null/bi4,an4/null/null/
痹症/null/null/bi4,zheng4/null/null/
庇荫/null/null/bi4,yin4/null/null/
婢女/null/null/bi4,nv3/null/null/
裨将/null/null/pi2,jiang4/null/null/
裨益/null/null/bi4,yi4/null/null/
辟地/null/null/pi4,di4/null/null/
辟谷/null/null/bi4,gu3/null/null/
辟邪/null/null/bi4,xie2/null/null/
辟谣/null/null/pi4,yao2/null/null/
碧绿/null/null/bi4,lv4/null/null/
碧空/null/null/bi4,kong1/null/null/
蔽塞/null/null/bi4,sai1/null/null/
碧血/null/null/bi4,xue4/null/null/
壁柜/null/null/bi4,gui4/null/null/
避风/null/null/bi4,feng1/null/null/
避难/null/null/bi4,nan4/null/null/
避邪/null/null/bi4,xie2/null/null/
避雨/null/null/bi4,yu3/null/null/
臂膀/null/null/bi4,bang3/null/null/
臂膊/null/null/bi4,bo2/null/null/
臂力/null/null/bi4,li4/null/null/
臂弯/null/null/bi4,wan1/null/null/
臂章/null/null/bi4,zhang1/null/null/
臂腕/null/null/bi4,wan4/null/null/
臂助/null/null/bi4,zhu4/null/null/
璧还/null/null/bi4,huan2/null/null/
边疆/null/null/bian1,jiang1/null/null/
边角/null/null/bian1,jiao3/null/null/
边地/null/null/bian1,di4/null/null/
边卡/null/null/bian1,qia3/null/null/
边区/null/null/bian1,qu1/null/null/
边上/null/null/bian1,shang4/null/null/
边塞/null/null/bian1,sai4/null/null/
边远/null/null/bian1,yuan3/null/null/
砭骨/null/null/bian1,gu3/null/null/
编发/null/null/bian1,fa1/null/null/
砭石/null/null/bian1,shi2/null/null/
编号/null/null/bian1,hao4/null/null/
编内/null/null/bian1,nei4/null/null/
编结/null/null/bian1,jie2/null/null/
编排/null/null/bian1,pai2/null/null/
编校/null/null/bian1,xiao4/null/null/
编织/null/null/bian1,zhi1/null/null/
编著/null/null/bian1,zhu4/null/null/
鞭打/null/null/bian1,da3/null/null/
鞭炮/null/null/bian1,pao4/null/null/
鞭梢/null/null/bian1,shao1/null/null/
贬称/null/null/bian3,cheng1/null/null/
贬价/null/null/bian3,jia4/null/null/
扁柏/null/null/bian3,bai3/null/null/
扁扁/null/null/bian3,bian3/null/null/
扁锉/null/null/bian3,cuo4/null/null/
扁豆/null/null/bian3,dou4/null/null/
扁担/null/null/bian3,dan4/null/null/
扁骨/null/null/bian3,gu3/null/null/
扁鹊/null/null/bian3,que4/null/null/
扁食/null/null/bian3,shi2/null/null/
扁桃/null/null/bian3,tao2/null/null/
扁圆/null/null/bian3,yuan2/null/null/
扁舟/null/null/pian1,zhou1/null/null/
拚命/null/null/pan4,ming4/null/null/
便步/null/null/bian4,bu4/null/null/
便餐/null/null/bian4,can1/null/null/
便车/null/null/bian4,che1/null/null/
便池/null/null/bian4,chi2/null/null/
便当/null/null/bian4,dang1/null/null/
便道/null/null/bian4,dao4/null/null/
便服/null/null/bian4,fu2/null/null/
便饭/null/null/bian4,fan4/null/null/
便函/null/null/bian4,han2/null/null/
便壶/null/null/bian4,hu2/null/null/
便笺/null/null/bian4,jian1/null/null/
便捷/null/null/bian4,jie2/null/null/
便览/null/null/bian4,lan3/null/null/
便利/null/null/bian4,li4/null/null/
便了/null/null/bian4,liao3/null/null/
便路/null/null/bian4,lu4/null/null/
便帽/null/null/bian4,mao4/null/null/
便门/null/null/bian4,men2/null/null/
便民/null/null/bian4,min2/null/null/
便秘/null/null/bian4,mi4/null/null/
便溺/null/null/bian4,niao4/null/null/
便盆/null/null/bian4,pen2/null/null/
便签/null/null/bian4,qian1/null/null/
便人/null/null/pian2,ren2/null/null/
便桥/null/null/bian4,qiao2/null/null/
便士/null/null/bian4,shi4/null/null/
便是/null/null/bian4,shi4/null/null/
便所/null/null/bian4,suo3/null/null/
便条/null/null/bian4,tiao2/null/null/
便桶/null/null/bian4,tong3/null/null/
便鞋/null/null/bian4,xie2/null/null/
便血/null/null/bian4,xue4/null/null/
便宴/null/null/bian4,yan4/null/null/
便衣/null/null/bian4,yi1/null/null/
便宜/null/null/pian2,yi2/null/null/
便中/null/null/bian4,zhong1/null/null/
便于/null/null/bian4,yu2/null/null/
便装/null/null/bian4,zhuang1/null/null/
变调/null/null/bian4,diao4/null/null/
变更/null/null/bian4,geng1/null/null/
变化/null/null/bian4,hua4/null/null/
变坏/null/null/bian4,huai4/null/null/
变价/null/null/bian4,jia4/null/null/
变节/null/null/bian4,jie2/null/null/
变量/null/null/bian4,liang4/null/null/
变数/null/null/bian4,shu4/null/null/
变体/null/null/bian4,ti3/null/null/
变相/null/null/bian4,xiang4/null/null/
变压/null/null/bian4,ya1/null/null/
变种/null/null/bian4,zhong3/null/null/
遍体/null/null/bian4,ti3/null/null/
遍地/null/null/bian4,di4/null/null/
辨别/null/null/bian4,bie2/null/null/
辨识/null/null/bian4,shi2/null/null/
辨正/null/null/bian4,zheng4/null/null/
辩解/null/null/bian4,jie3/null/null/
辩论/null/null/bian4,lun4/null/null/
辩难/null/null/bian4,nan4/null/null/
辩说/null/null/bian4,shuo1/null/null/
标榜/null/null/biao1,bang3/null/null/
辩正/null/null/bian4,zheng4/null/null/
标称/null/null/biao1,cheng1/null/null/
标尺/null/null/biao1,chi3/null/null/
标的/null/null/biao1,di4/null/null/
标底/null/null/biao1,di3/null/null/
标度/null/null/biao1,du4/null/null/
标杆/null/null/biao1,gan1/null/null/
标号/null/null/biao1,hao4/null/null/
标价/null/null/biao1,jia4/null/null/
标量/null/null/biao1,liang4/null/null/
标识/null/null/biao1,zhi4/null/null/
标语/null/null/biao1,yu3/null/null/
骠骑/null/null/piao4,qi2/null/null/
镖头/null/null/biao1,tou2/null/null/
飙车/null/null/biao1,che1/null/null/
表尺/null/null/biao3,chi3/null/null/
表弟/null/null/biao3,di4/null/null/
表观/null/null/biao3,guan1/null/null/
表解/null/null/biao3,jie3/null/null/
表露/null/null/biao3,lu4/null/null/
表率/null/null/biao3,shuai4/null/null/
表亲/null/null/biao3,qin1/null/null/
表头/null/null/biao3,tou2/null/null/
表徵/null/null/biao3,zhi3/null/null/
表语/null/null/biao3,yu3/null/null/
