阿Ｑ/null/null/a1,Ｑ
柏林/null/null/bo2,lin2
柏乡/null/null/bai3,xiang1
柏油/null/null/bai3,you2
摆弄/null/null/bai3,nong4
摆正/null/null/bai3,zheng4
败北/null/null/bai4,bei3
败毒/null/null/bai4,du2
败坏/null/null/bai4,huai4
败家/null/null/bai4,jia1
败将/null/null/bai4,jiang4
败露/null/null/bai4,lu4
败落/null/null/bai4,luo4
败兴/null/null/bai4,xing4
败血/null/null/bai4,xue4
败亡/null/null/bai4,wang2
拜别/null/null/bai4,bie2
拜读/null/null/bai4,du2
拜倒/null/null/bai4,dao3
拜佛/null/null/bai4,fo2
拜服/null/null/bai4,fu2
拜见/null/null/bai4,jian4
拜祭/null/null/bai4,ji4
拜会/null/null/bai4,hui4
拜节/null/null/bai4,jie2
扳倒/null/null/ban1,dao3
班禅/null/null/ban1,chan2
班车/null/null/ban1,che1
班长/null/null/ban1,zhang3
班期/null/null/ban1,qi1
斑纹/null/null/ban1,wen2
搬家/null/null/ban1,jia1
板车/null/null/ban3,che1
搬弄/null/null/ban1,nong4
板结/null/null/ban3,jie2
板刷/null/null/ban3,shua1
板正/null/null/ban3,zheng4
板铺/null/null/ban3,pu4
办差/null/null/ban4,chai1
版筑/null/null/ban3,zhu4
办好/null/null/ban4,hao3
半大/null/null/ban4,da4
半价/null/null/ban4,jia4
半空/null/null/ban4,kong1
半票/null/null/ban4,piao4
半数/null/null/ban4,shu4
半拉/null/null/ban4,la3
半休/null/null/ban4,xiu1
半载/null/null/ban4,zai3
伴读/null/null/ban4,du2
伴同/null/null/ban4,tong2
伴郎/null/null/ban4,lang2
拌和/null/null/ban4,huo4
扮戏/null/null/ban4,xi4
扮相/null/null/ban4,xiang4
拌蒜/null/null/ban4,suan4
拌匀/null/null/ban4,yun2
绊倒/null/null/ban4,dao3
拌嘴/null/null/ban4,zui3
拌种/null/null/ban4,zhong3
帮会/null/null/bang1,hui4
帮教/null/null/bang1,jiao4
帮同/null/null/bang1,tong2
帮佣/null/null/bang1,yong1
帮助/null/null/bang1,zhu4
绑票/null/null/bang3,piao4
绑扎/null/null/bang3,zha1
榜额/null/null/bang3,e2
榜首/null/null/bang3,shou3
榜书/null/null/bang3,shu1
榜文/null/null/bang3,wen2
榜眼/null/null/bang3,yan3
榜样/null/null/bang3,yang4
膀臂/null/null/bang3,bi4
棒喝/null/null/bang4,he4
棒头/null/null/bang4,tou2
磅礴/null/null/pang2,bo2
磅秤/null/null/bang4,cheng4
包藏/null/null/bao1,cang2
包被/null/null/bao1,bei4
包场/null/null/bao1,chang3
包车/null/null/bao1,che1
包乘/null/null/bao1,cheng2
包干/null/null/bao1,gan1
包间/null/null/bao1,jian1
包括/null/null/bao1,kuo4
包络/null/null/bao1,luo4
包囊/null/null/bao1,nang2
包票/null/null/bao1,piao4
包头/null/null/bao1,tou2
包扎/null/null/bao1,za1
宝藏/null/null/bao3,zang4
宝号/null/null/bao3,hao4
宝地/null/null/bao3,di4
宝刹/null/null/bao3,cha4
宝石/null/null/bao3,shi2
宝应/null/null/bao3,ying4
饱读/null/null/bao3,du2
饱和/null/null/bao3,he2
饱食/null/null/bao3,shi2
保长/null/null/bao3,chang2
保藏/null/null/bao3,cang2
保单/null/null/bao3,dan1
保底/null/null/bao3,di3
保价/null/null/bao3,jia4
保票/null/null/bao3,piao4
保鲜/null/null/bao3,xian1
保有/null/null/bao3,you3
保重/null/null/bao3,zhong4
堡垒/null/null/bao3,lei3
堡寨/null/null/bao3,zhai4
堡子/null/null/bu3,zi5
报答/null/null/bao4,da2
报单/null/null/bao4,dan1
报仇/null/null/bao4,chou2
报价/null/null/bao4,jia4
报丧/null/null/bao4,sang1
报数/null/null/bao4,shu4
报头/null/null/bao4,tou2
报信/null/null/bao4,xin4
报应/null/null/bao4,ying4
报知/null/null/bao4,zhi1
暴毙/null/null/bao4,bi4
暴病/null/null/bao4,bing4
暴跌/null/null/bao4,die1
暴动/null/null/bao4,dong4
暴发/null/null/bao4,fa1
暴风/null/null/bao4,feng1
暴光/null/null/bao4,guang1
暴富/null/null/bao4,fu4
暴客/null/null/bao4,ke4
暴君/null/null/bao4,jun1
暴力/null/null/bao4,li4
暴吏/null/null/bao4,li4
暴戾/null/null/bao4,li4
暴利/null/null/bao4,li4
暴敛/null/null/bao4,lian3
暴烈/null/null/bao4,lie4
暴露/null/null/bao4,lu4
暴乱/null/null/bao4,luan4
暴民/null/null/bao4,min2
暴怒/null/null/bao4,nu4
暴虐/null/null/bao4,nüe4
暴晒/null/null/pu4,shai4
暴尸/null/null/bao4,shi1
暴死/null/null/bao4,si3
暴跳/null/null/bao4,tiao4
暴突/null/null/bao4,tu1
暴徒/null/null/bao4,tu2
暴行/null/null/bao4,xing2
暴躁/null/null/bao4,zao4
暴雨/null/null/bao4,yu3
暴卒/null/null/bao4,zu2
暴政/null/null/bao4,zheng4
暴涨/null/null/bao4,zhang3
爆发/null/null/bao4,fa1
爆裂/null/null/bao4,lie4
爆炸/null/null/bao4,zha4
陂塘/null/null/bei1,tang2
陂陀/null/null/po1,tuo2
悲观/null/null/bei1,guan1
悲号/null/null/bei1,hao4
悲凉/null/null/bei1,liang2
悲切/null/null/bei1,qie4
悲思/null/null/bei1,si1
碑碣/null/null/bei1,jie2
悲咽/null/null/bei1,yan1
碑石/null/null/bei1,shi2
碑帖/null/null/bei1,tie4
碑拓/null/null/bei1,tuo4
北边/null/null/bei3,bian1
北部/null/null/bei3,bu4
北辰/null/null/bei3,chen2
北朝/null/null/bei3,chao2
北斗/null/null/bei3,dou3
北伐/null/null/bei3,fa2
北风/null/null/bei3,feng1
北非/null/null/bei3,fei1
北房/null/null/bei3,fang2
北方/null/null/bei3,fang1
北国/null/null/bei3,guo2
北瓜/null/null/bei3,gua1
北海/null/null/bei3,hai3
北极/null/null/bei3,ji2
北疆/null/null/bei3,jiang1
北江/null/null/bei3,jiang1
北郊/null/null/bei3,jiao1
北京/null/null/bei3,jing1
北门/null/null/bei3,men2
北面/null/null/bei3,mian4
北欧/null/null/bei3,ou1
北平/null/null/bei3,ping2
北齐/null/null/bei3,qi2
北曲/null/null/bei3,qu3
北宋/null/null/bei3,song4
北上/null/null/bei3,shang4
北纬/null/null/bei3,wei3
北魏/null/null/bei3,wei4
北洋/null/null/bei3,yang2
北岳/null/null/bei3,yue4
北越/null/null/bei3,yue4
北周/null/null/bei3,zhou1
贝壳/null/null/bei4,ke2
贝勒/null/null/bei4,le4
备查/null/null/bei4,zha1
备份/null/null/bei4,fen4
备员/null/null/bei4,yuan2
背榜/null/null/bei1,bang3
背包/null/null/bei1,bao1
背部/null/null/bei4,bu4
背地/null/null/bei4,di4
背带/null/null/bei1,dai4
背袋/null/null/bei4,dai4
背篼/null/null/bei4,dou1
背负/null/null/bei1,fu4
背风/null/null/bei4,feng1
背光/null/null/bei4,guang1
背脊/null/null/bei4,ji3
背后/null/null/bei4,hou4
背街/null/null/bei4,jie1
背景/null/null/bei4,jing3
背静/null/null/bei4,jing4
背靠/null/null/bei4,kao4
背筐/null/null/bei1,kuang1
背篓/null/null/bei1,lou3
背离/null/null/bei4,li2
背谬/null/null/bei4,miu4
背面/null/null/bei4,mian4
背囊/null/null/bei4,nang2
背鳍/null/null/bei4,qi2
背叛/null/null/bei4,pan4
背气/null/null/bei4,qi4
背弃/null/null/bei4,qi4
背人/null/null/bei4,ren2
背时/null/null/bei4,shi2
背书/null/null/bei4,shu1
背熟/null/null/bei4,shu2
背诵/null/null/bei4,song4
背向/null/null/bei4,xiang4
背心/null/null/bei4,xin1
背信/null/null/bei4,xin4
背阴/null/null/bei4,yin1
背影/null/null/bei4,ying3
背约/null/null/bei4,yue1
背运/null/null/bei4,yun4
背债/null/null/bei1,zhai4
背子/null/null/bei1,zi5
倍率/null/null/bei4,lv4
倍频/null/null/bei4,pin2
倍数/null/null/bei4,shu4
被单/null/null/bei4,dan1
被袋/null/null/bei4,dai4
被动/null/null/bei4,dong4
被服/null/null/bei4,fu2
被覆/null/null/bei4,fu4
被害/null/null/bei4,hai4
被告/null/null/bei4,gao4
被里/null/null/bei4,li3
被面/null/null/bei4,mian4
被难/null/null/bei4,nan4
被套/null/null/bei4,tao4
被头/null/null/bei4,tou2
被卧/null/null/bei4,wo4
被罩/null/null/bei4,zhao4
被子/null/null/bei4,zi5
焙干/null/null/bei4,gan1
辈分/null/null/bei4,fen1
辈数/null/null/bei4,shu4
奔波/null/null/ben1,bo1
奔驰/null/null/ben1,chi2
奔窜/null/null/ben1,cuan4
奔放/null/null/ben1,fang4
奔赴/null/null/ben1,fu4
奔劳/null/null/ben1,lao2
奔流/null/null/ben1,iu2
奔马/null/null/ben1,ma3
奔忙/null/null/ben1,mang2
奔跑/null/null/ben1,pao3
奔命/null/null/ben4,ming4
奔丧/null/null/ben1,sang1
奔腾/null/null/ben1,teng2
奔逃/null/null/ben1,tao2
奔驶/null/null/ben1,shi3
奔头/null/null/ben4,tou2
奔突/null/null/ben1,tu1
奔袭/null/null/ben1,xi2
奔泻/null/null/ben1,xie4
奔涌/null/null/ben1,yong3
奔逐/null/null/ben1,zhu2
奔走/null/null/ben1,zou3
贲门/null/null/ben1,men2
贲临/null/null/bi4,lin2
本底/null/null/ben3,di3
本地/null/null/ben3,di4
本分/null/null/ben3,fen4
本纪/null/null/ben3,ji4
本家/null/null/ben3,jia1
本能/null/null/ben3,neng2
本票/null/null/ben3,piao4
本体/null/null/ben3,ti3
本戏/null/null/ben3,xi4
本条/null/null/ben3,tiao2
本县/null/null/ben3,xian4
本相/null/null/ben3,xiang4
本行/null/null/ben3,hang2
本着/null/null/ben3,zhe5
畚斗/null/null/ben3,dou4
笨伯/null/null/ben4,bo2
笨重/null/null/ben4,zhong4
崩坏/null/null/beng1,huai4
崩解/null/null/beng1,jie3
崩溃/null/null/beng1,kui4
崩裂/null/null/beng1,lie4
绷带/null/null/beng1,dai4
绷簧/null/null/beng1,huang2
绷脸/null/null/beng3,lian3
绷子/null/null/beng1,zi3
迸发/null/null/beng4,fa1
迸溅/null/null/beng4,jian4
迸裂/null/null/beng4,lie4
迸射/null/null/beng4,she4
蹦跳/null/null/beng4,tiao4
逼供/null/null/bi1,gong4
逼和/null/null/bi1,he2
逼迫/null/null/bi1,po4
逼肖/null/null/bi1,xiao4
鼻塞/null/null/bi2,sai1
鼻头/null/null/bi2,tou2
比分/null/null/bi3,fen1
比干/null/null/bi3,gan4
比划/null/null/bi3,hua4
比价/null/null/bi3,jia4
比率/null/null/bi3,lv4
比量/null/null/bi3,liang2
比兴/null/null/bi3,xing1
比重/null/null/bi3,zhong4
吡啶/null/null/bi3,ding4
吡咯/null/null/bi3,ge1
笔答/null/null/bi3,da2
笔调/null/null/bi3,diao4
笔供/null/null/bi3,gong4
笔划/null/null/bi3,hua4
笔会/null/null/bi3,hui4
笔体/null/null/bi3,ti3
笔削/null/null/bi3,xue1
笔洗/null/null/bi3,xi3
鄙薄/null/null/bi3,bo2
鄙夫/null/null/bi3,fu1
鄙称/null/null/bi3,cheng1
鄙见/null/null/bi3,jian4
必得/null/null/bi4,dei3
必将/null/null/bi4,jiang1
必要/null/null/bi4,yao4
毕剥/null/null/bi4,bao1
毕肖/null/null/bi4,xiao4
毕露/null/null/bi4,lu4
闭合/null/null/bi4,he2
闭会/null/null/bi4,hui4
闭卷/null/null/bi4,juan4
闭塞/null/null/bi4,se4
狴犴/null/null/bi4,an4
痹症/null/null/bi4,zheng4
庇荫/null/null/bi4,yin4
婢女/null/null/bi4,nv3
裨将/null/null/pi2,jiang4
裨益/null/null/bi4,yi4
辟地/null/null/pi4,di4
辟谷/null/null/bi4,gu3
辟邪/null/null/bi4,xie2
辟谣/null/null/pi4,yao2
碧绿/null/null/bi4,lv4
碧空/null/null/bi4,kong1
蔽塞/null/null/bi4,sai1
碧血/null/null/bi4,xue4
壁柜/null/null/bi4,gui4
避风/null/null/bi4,feng1
避难/null/null/bi4,nan4
避邪/null/null/bi4,xie2
避雨/null/null/bi4,yu3
臂膀/null/null/bi4,bang3
臂膊/null/null/bi4,bo2
臂力/null/null/bi4,li4
臂弯/null/null/bi4,wan1
臂章/null/null/bi4,zhang1
臂腕/null/null/bi4,wan4
臂助/null/null/bi4,zhu4
璧还/null/null/bi4,huan2
边疆/null/null/bian1,jiang1
边角/null/null/bian1,jiao3
边地/null/null/bian1,di4
边卡/null/null/bian1,qia3
边区/null/null/bian1,qu1
边上/null/null/bian1,shang4
边塞/null/null/bian1,sai4
边远/null/null/bian1,yuan3
砭骨/null/null/bian1,gu3
编发/null/null/bian1,fa1
砭石/null/null/bian1,shi2
编号/null/null/bian1,hao4
编内/null/null/bian1,nei4
编结/null/null/bian1,jie2
编排/null/null/bian1,pai2
编校/null/null/bian1,xiao4
编织/null/null/bian1,zhi1
编著/null/null/bian1,zhu4
鞭打/null/null/bian1,da3
鞭炮/null/null/bian1,pao4
鞭梢/null/null/bian1,shao1
贬称/null/null/bian3,cheng1
贬价/null/null/bian3,jia4
扁柏/null/null/bian3,bai3
扁扁/null/null/bian3,bian3
扁锉/null/null/bian3,cuo4
扁豆/null/null/bian3,dou4
扁担/null/null/bian3,dan4
扁骨/null/null/bian3,gu3
扁鹊/null/null/bian3,que4
扁食/null/null/bian3,shi2
扁桃/null/null/bian3,tao2
扁圆/null/null/bian3,yuan2
扁舟/null/null/pian1,zhou1
拚命/null/null/pan4,ming4
便步/null/null/bian4,bu4
便餐/null/null/bian4,can1
便车/null/null/bian4,che1
便池/null/null/bian4,chi2
便当/null/null/bian4,dang1
便道/null/null/bian4,dao4
便服/null/null/bian4,fu2
便饭/null/null/bian4,fan4
便函/null/null/bian4,han2
便壶/null/null/bian4,hu2
便笺/null/null/bian4,jian1
便捷/null/null/bian4,jie2
便览/null/null/bian4,lan3
便利/null/null/bian4,li4
便了/null/null/bian4,liao3
便路/null/null/bian4,lu4
便帽/null/null/bian4,mao4
便门/null/null/bian4,men2
便民/null/null/bian4,min2
便秘/null/null/bian4,mi4
便溺/null/null/bian4,niao4
便盆/null/null/bian4,pen2
便签/null/null/bian4,qian1
便人/null/null/pian2,ren2
便桥/null/null/bian4,qiao2
便士/null/null/bian4,shi4
便是/null/null/bian4,shi4
便所/null/null/bian4,suo3
便条/null/null/bian4,tiao2
便桶/null/null/bian4,tong3
便鞋/null/null/bian4,xie2
便血/null/null/bian4,xue4
便宴/null/null/bian4,yan4
便衣/null/null/bian4,yi1
便宜/null/null/pian2,yi2
便中/null/null/bian4,zhong1
便于/null/null/bian4,yu2
便装/null/null/bian4,zhuang1
变调/null/null/bian4,diao4
变更/null/null/bian4,geng1
变化/null/null/bian4,hua4
变坏/null/null/bian4,huai4
变价/null/null/bian4,jia4
变节/null/null/bian4,jie2
变量/null/null/bian4,liang4
变数/null/null/bian4,shu4
变体/null/null/bian4,ti3
变相/null/null/bian4,xiang4
变压/null/null/bian4,ya1
变种/null/null/bian4,zhong3
遍体/null/null/bian4,ti3
遍地/null/null/bian4,di4
辨别/null/null/bian4,bie2
辨识/null/null/bian4,shi2
辨正/null/null/bian4,zheng4
辩解/null/null/bian4,jie3
辩论/null/null/bian4,lun4
辩难/null/null/bian4,nan4
辩说/null/null/bian4,shuo1
标榜/null/null/biao1,bang3
辩正/null/null/bian4,zheng4
标称/null/null/biao1,cheng1
标尺/null/null/biao1,chi3
标的/null/null/biao1,di4
标底/null/null/biao1,di3
标度/null/null/biao1,du4
标杆/null/null/biao1,gan1
标号/null/null/biao1,hao4
标价/null/null/biao1,jia4
标量/null/null/biao1,liang4
标识/null/null/biao1,zhi4
标语/null/null/biao1,yu3
骠骑/null/null/piao4,qi2
镖头/null/null/biao1,tou2
飙车/null/null/biao1,che1
表尺/null/null/biao3,chi3
表弟/null/null/biao3,di4
表观/null/null/biao3,guan1
表解/null/null/biao3,jie3
表露/null/null/biao3,lu4
表率/null/null/biao3,shuai4
表亲/null/null/biao3,qin1
表头/null/null/biao3,tou2
表徵/null/null/biao3,zhi3
表语/null/null/biao3,yu3
裱糊/null/null/biao3,hu2
憋闷/null/null/bie1,men4
别本/null/null/bie2,ben3
别称/null/null/bie2,cheng1
别处/null/null/bie2,chu4
别传/null/null/bie2,zhuan4
别个/null/null/bie2,ge4
别馆/null/null/bie2,guan3
别管/null/null/bie2,guan3
别国/null/null/bie2,guo2
别号/null/null/bie2,hao4
别集/null/null/bie2,ji2
别家/null/null/bie2,jia1
别价/null/null/bie2,jia4
别离/null/null/bie2,li2
别论/null/null/bie2,lun4
别忙/null/null/bie2,mang2
别名/null/null/bie2,ming2
别扭/null/null/bie4,niu3
别情/null/null/bie2,qing2
别趣/null/null/bie2,qu4
别人/null/null/bie2,ren2
别史/null/null/bie2,shi3
别是/null/null/bie2,shi4
别墅/null/null/bie2,shu4
别说/null/null/bie2,shuo1
别提/null/null/bie2,ti2
别体/null/null/bie2,ti3
别样/null/null/bie2,yang4
别绪/null/null/bie2,xu4
别业/null/null/bie2,ye4
别致/null/null/bie2,zhi4
别针/null/null/bie2,zhen1
别字/null/null/bie2,zi4
别嘴/null/null/bie2,zui3
瘪三/null/null/bie1,san1
宾从/null/null/bin1,cong2
宾服/null/null/bin1,fu2
傧相/null/null/bin1,xiang4
槟榔/null/null/bing1,lang2
槟子/null/null/bin1,zi3
殡车/null/null/bin4,che1
鬓发/null/null/bin4,fa4
髌骨/null/null/bin4,gu3
鬓角/null/null/bin4,jiao3
冰场/null/null/bing1,chang3
冰斗/null/null/bing1,dou3
冰棍/null/null/bing1,gun4
冰凉/null/null/bing1,liang2
冰溜/null/null/bing1,iu1
冰排/null/null/bing1,pai2
冰片/null/null/bing1,pian4
冰期/null/null/bing1,qi1
兵差/null/null/bing1,chai1
兵车/null/null/bing1,che1
兵丁/null/null/bing1,ding1
兵家/null/null/bing1,jia1
兵员/null/null/bing1,yuan2
兵卒/null/null/bing1,zu2
兵种/null/null/bing1,zhong3
丙丁/null/null/bing3,ding1
丙纶/null/null/bing3,lun2
秉正/null/null/bing3,zheng4
饼铛/null/null/bing3,cheng1
饼干/null/null/bing3,gan1
禀帖/null/null/bing3,tie3
并称/null/null/bing4,cheng1
并存/null/null/bing4,cun2
并处/null/null/bing4,chu3
并蒂/null/null/bing4,di4
并发/null/null/bing4,fa1
并轨/null/null/bing4,gui3
并合/null/null/bing4,he2
并肩/null/null/bing4,jian1
并进/null/null/bing4,jin4
并举/null/null/bing4,ju3
并立/null/null/bing4,li4
并力/null/null/bing4,li4
并联/null/null/bing4,lian2
并列/null/null/bing4,lie4
并拢/null/null/bing4,long3
并排/null/null/bing4,pai2
并且/null/null/bing4,qie3
并入/null/null/bing4,ru4
并吞/null/null/bing4,tun1
并网/null/null/bing4,wang3
并行/null/null/bing4,xing2
并用/null/null/bing4,yong4
并置/null/null/bing4,zhi4
并重/null/null/bing4,zhong4
病毒/null/null/bing4,du2
病体/null/null/bing4,ti3
病员/null/null/bing4,yuan2
病症/null/null/bing4,zheng4
病重/null/null/bing4,zhong4
拨发/null/null/bo1,fa1
拨给/null/null/bo1,gei3
拨号/null/null/bo1,hao4
拨拉/null/null/bo1,la1
拨弄/null/null/bo1,nong4
拨转/null/null/bo1,zhuan3
波长/null/null/bo1,chang2
波纹/null/null/bo1,wen2
波折/null/null/bo1,zhe2
剥除/null/null/bao1,chu2
剥剥/null/null/bao1,bao1
剥夺/null/null/bo1,duo2
剥壳/null/null/bao1,ke2
剥离/null/null/bo1,li2
剥取/null/null/bao1,qu3
剥皮/null/null/bao1,pi2
剥落/null/null/bo1,luo4
剥蚀/null/null/bo1,shi2
剥脱/null/null/bao1,tuo1
剥削/null/null/bo1,xue1
脖颈/null/null/bo2,geng3
播发/null/null/bo1,fa1
播弄/null/null/bo1,nong4
播散/null/null/bo1,san4
播种/null/null/bo1,zhong3
伯伯/null/null/bo2,bo5
伯德/null/null/bo2,de2
伯公/null/null/bo2,gong1
伯父/null/null/bo2,fu4
伯爵/null/null/bo2,jue2
伯劳/null/null/bo2,lao2
伯乐/null/null/bo2,le4
伯母/null/null/bo2,mu3
伯婆/null/null/bo2,po2
伯仲/null/null/bo2,zhong4
伯祖/null/null/bo2,zu3
驳倒/null/null/bo2,dao3
驳论/null/null/bo2,lun4
泊车/null/null/bo2,che1
泊地/null/null/po1,di4
泊位/null/null/bo2,wei4
勃勃/null/null/bo2,bo2
勃发/null/null/bo2,fa1
勃起/null/null/bo2,qi3
勃然/null/null/bo2,ran2
勃兴/null/null/bo2,xing1
博采/null/null/bo2,cai3
博大/null/null/bo2,da4
博得/null/null/bo2,de5
博识/null/null/bo2,shi2
搏斗/null/null/bo2,dou4
薄板/null/null/bao2,ban3
薄饼/null/null/bao2,bing3
薄薄/null/null/bao2,bao2
薄层/null/null/bao2,ceng2
薄产/null/null/bo2,chan3
薄脆/null/null/bao2,cui4
薄待/null/null/bo2,dai4
薄荷/null/null/bo4,he5
薄技/null/null/bo2,ji4
薄酒/null/null/bo2,jiu3
薄利/null/null/bo2,li4
薄面/null/null/bao2,mian4
薄命/null/null/bo2,ming4
薄暮/null/null/bo2,mu4
薄情/null/null/bo2,qing2
薄片/null/null/bao2,pian4
薄膜/null/null/bao2,mo2
薄弱/null/null/bo2,ruo4
薄纱/null/null/bao2,sha1
薄田/null/null/bo2,tian2
薄雾/null/null/bo2,wu4
薄晓/null/null/bo2,xiao3
薄幸/null/null/bo2,xing4
薄葬/null/null/bao2,zang4
跛行/null/null/bo3,xing2
簸箕/null/null/bo4,ji5
簸荡/null/null/bo3,dang4
簸动/null/null/bo3,dong4
簸弄/null/null/bo3,nong4
擘划/null/null/bo4,hua4
簸箩/null/null/bo3,luo2
擘画/null/null/bo4,hua4
卜辞/null/null/bu3,ci2
卜卦/null/null/bu3,gua4
卜居/null/null/bu3,ju1
卜骨/null/null/bu3,gu3
卜筮/null/null/bu3,shi4
补差/null/null/bu3,cha4
补钉/null/null/bu3,ding1
补丁/null/null/bu3,ding1
补发/null/null/bu3,fa1
补给/null/null/bu3,ji3
补过/null/null/bu3,guo4
补角/null/null/bu3,jiao3
补假/null/null/bu3,jia4
补票/null/null/bu3,piao4
补台/null/null/bu3,tai2
补血/null/null/bu3,xue4
补休/null/null/bu3,xiu1
补语/null/null/bu3,yu3
补正/null/null/bu3,zheng4
补种/null/null/bu3,zhong4
补助/null/null/bu3,zhu4
捕食/null/null/bu3,shi2
捕头/null/null/bu3,tou2
不碍/null/null/bu4,ai4
不安/null/null/bu4,an1
不备/null/null/bu4,bei4
不比/null/null/bu4,bi3
不报/null/null/bu4,bao4
不必/null/null/bu4,bi4
不便/null/null/bu4,bian4
不避/null/null/bu4,bi4
不变/null/null/bu4,bian4
